source,title
wtvr.com,Boston gangster James ‘Whitey’ Bulger killed in West Virginia prison
wtvr.com,"3 children from same family hit, killed while waiting for school bus in Indiana"
wtvr.com,VCU announces beer sales at men’s basketball games this season
wtvr.com,Woman needs medical help after zombie fangs stick to her teeth
wtvr.com,"Gelati Celesti scoops up new location, replaces Boyer’s on Grove Ave."
wtvr.com,Funerals begin after 11 slain at Pittsburgh synagogue
wtvr.com,Child killed chasing dog will be buried with beloved pet
wtvr.com,Appomattox Regional Governor’s School’s “Fiddler on the Roof”
wtvr.com,"Apple unveils new iPad Pro, MacBook Air and Mac Mini"
wtvr.com,VCU will not hold a university-wide commencement ceremony in May 2019
wtvr.com,CBS 6 pays for pumpkins at Gallmeyer Farms patch
wtvr.com,Kroger shooting in Kentucky is being investigated as a hate crime
wtvr.com,Getting your dog ready for Halloween
wtvr.com,“The Medium of Desire”
wtvr.com,President Trump vows to end U.S. citizenship for children of non-citizens
wtvr.com,Embattled former Petersburg treasurer arrested for embezzlement in Georgia
wtvr.com,"Muslim communities unite, raise thousands for Pittsburgh synagogue shooting victims"
wtvr.com,Meet the women bringing medical cannabis to Richmond
wtvr.com,Pharrell Williams threatens to sue Trump over use of ‘Happy’ at rally after Pittsburgh shooting
wtvr.com,Mom grapples with homeless and getting daughter back into school: ‘time is critical’
wtvr.com,Meet Libertarian Virginia senate candidate Matt Waters: ‘Politicians in both parties are not being honest’
wtvr.com,Pipe bomb suspect Cesar Sayoc formally charged at first court appearance
wtvr.com,Crash – involving school bus – snarls Brook Road traffic
wtvr.com,Security footage leads to arrest of women sending drugs to Henrico inmate
wtvr.com,"Man used dogs’ injuries to get pain pills in ‘disturbing’ case of animal cruelty, police say"
wtvr.com,"Father shoots, kills gunman who opened fire at Alabama McDonald’s"
wtvr.com,‘Bus helper’ accused of raping 6-year-old on Ohio school bus
wtvr.com,"Richmond congregations shine light, shown love after Pittsburgh synagogue shooting"
wtvr.com,"Suspect arrested after striking 10 vehicles, climbing onto roof of Five Guys to hide"
wtvr.com,All southbound lanes on I-295 closed for emergency bridge repairs
wtvr.com,"Driver misses deer, crashes into Chesterfield utility pole"
wtvr.com,Local congregations grapple with aftermath of gunman opening fire in Pittsburgh Synagogue
wtvr.com,Michael Moore releases clip of Cesar Sayoc at Trump rally
wtvr.com,Chesterfield residents voice concerns over proposed retirement community
wtvr.com,Japan’s Princess Ayako surrenders her royal status as she marries for love
wtvr.com,"Chesterfield bus crashes into tree on Otterdale Road, one injury reported"
wtvr.com,Rapper 50 Cent buys 200 Ja Rule concert tickets to keep seats empty in ongoing feud
wtvr.com,Man – shot by mom protecting teen daughter – turned over to FBI
wtvr.com,‘Don’t mess with my Reese’s cups’: Some already sour on new sweet treat
wtvr.com,"When deer get frisky, driving in Virginia gets risky"
wtvr.com,Dog with terminal cancer becomes honorary K-9 for a day
wtvr.com,Bodies found tied together along Hudson River were missing Virginia teen and her sister
wtvr.com,Police ID ‘Ross from Friends’ lookalike
wtvr.com,"Holocaust survivor 4 minutes late to synagogue, ‘I survived the second time’"
wtvr.com,"Red Sox cap stellar season, win 4th World Series in 15 years"
wtvr.com,Couple finds hidden camera while on cruise
wtvr.com,Mary Chapin Carpenter delights Richmond fans at The National
wtvr.com,Keith Urban dedicates Virginia concert to fallen Hanover firefighter
wtvr.com,‘Really good’ pics uploaded onto iCloud from stolen Chesterfield phone
wtvr.com,Plane carrying 189 people crashes into the sea near Indonesia
wtvr.com,"Family, friends honor ‘daring intellectual’ killed in Southside shooting"
wtvr.com,72 hours in America: 3 hate-filled crimes. 3 hate-filled suspects.
wtvr.com,Internet version of Pittsburgh Steelers logo sends message ‘Stronger than Hate’
wtvr.com,‘Horrific crime scene:’ Suspect ID’d in deadly mass shooting at Pittsburgh synagogue
wtvr.com,Feud over Campbell Soup’s future could break up the 149-year old soup company
wtvr.com,Publix’s Roasted Cauliflower & Leek Truffled Bisque
wtvr.com,2 winners will split the $687 million Powerball jackpot
wtvr.com,"4-day culinary adventure at “Fire, Flour, and Fork”"
wtvr.com,Trump: Pittsburgh ‘anti-Semitic attack is an attack on all of us’
wtvr.com,Hawaii houses 2 of 18 ‘very high threat’-classified volcanoes in US
wtvr.com,Pittsburgh synagogue shooting victims identified
wtvr.com,Girl killed chasing family dog on Route 60 in Lexington
wtvr.com,Halloween Forecast: Warmer weather arrives by mid-week
wtvr.com,Soccer team owner’s helicopter crashes after match
wtvr.com,Boosting your credit score
wtvr.com,Richmond synagogue feeds hungry; responds after mass shooting
wtvr.com,"Pittsburgh synagogue gunman told SWAT he wanted all Jews to die, criminal complaint says"
wtvr.com,Protecting yourself from cyber crime
wtvr.com,Trump justifies rally with false claims after Pittsburgh shooting
wtvr.com,CBS 6 Football Whiparound
wtvr.com,Hate crime charges filed in Pittsburgh synagogue shooting that left 11 dead
wtvr.com,"“Oysters, Barbecue…Battersea”"
wtvr.com,Get ready to turn your clocks back next weekend
wtvr.com,Man critically injured in Southside shooting
wtvr.com,Man critically injured in Hillside Court shooting
wtvr.com,Ellen surprises family of Chesapeake girl who went viral with Jackson 5 classic
wtvr.com,Henrico service honors Pittsburgh synagogue victims: Light is only way to combat darkness
wtvr.com,Cesar Sayoc was DJ at strip club night before being arrested
wtvr.com,Musicians ask to borrow amps after Richmond house fire: ‘I don’t know if we’ll be able to play’
wtvr.com,Bodies of 2 Fairfax sisters found in Hudson River
wtvr.com,Leaders around world react to mass killings at Pittsburgh synagogue
wtvr.com,Shooting is believed to be the deadliest US attack on Jews
wtvr.com,Indonesia Lion Air flight crashes en route from Jakarta to Pangkal Pinang
wtvr.com,"Mother charged after 8-year-old found with severe burns, bruises"
wtvr.com,Check your kitchen for these recalled foods
wtvr.com,Crash closes I-95 south near Parham Road exit in Henrico
wtvr.com,8th child dies after virus outbreak in NJ
wtvr.com,9th child dies after virus outbreak at New Jersey facility
wtvr.com,"Win VIP tickets to VMFA After Hours, admission to ‘Congo Masks: Masterpieces from Central Africa’ exhibit"
wtvr.com,There is still time to vote absentee; but you must act fast
wtvr.com,Fallen Hanover firefighter’s family gets help paying mortgage: ‘Our home is safe’
wtvr.com,"Man wounded, woman grazed by bullet in Gilpin Court shooting"
wtvr.com,"Memorial service for fallen Hanover firefighter brings large crowd, tears"
wtvr.com,Counterfeit cash with Russian letters surfaces in Richmond: ‘It’s very convincing’
wtvr.com,"Secret Service intercepts 2 ‘suspicious packages’ addressed to Obama, Clinton"
wtvr.com,Man fighting for his life after Petersburg shooting; suspect in custody
wtvr.com,50 turtles seized at Richmond Burger King now up for adoption
wtvr.com,Hit-and-run driver strikes Chesterfield cyclist with autism
wtvr.com,WATCH & WIN: It’s back — $600 up for grabs all this week
wtvr.com,"Phish drops cash, heaps praise on Richmond: ‘It’s just so freaking gorgeous here’"
