source,title
zerohedge.com,"IBM Bond Yields, Default Risk Spike After Red Hat Deal"
zerohedge.com,The Market Isn't The Economy: A Snapshot From The Depression
zerohedge.com,US Won't Continue Trade Talks Until China Commits To Ending Forced Tech Transfers
zerohedge.com,Photos Show Aide To Saudi Crown Prince Entering Consulate Hours Before Journalist's Disappearance
zerohedge.com,"""They Cut Him Up While He Was Still Alive"": Grisly Details Of Saudi Journalist Killing Emerge"
zerohedge.com,"""National Emergency"" - President Trump To Cut Central American Aid As Mexico Loses Control Of Migrant Army"
zerohedge.com,Saudi Crown Prince Spoke To Khashoggi By Phone Moments Before He Was Killed: Report
zerohedge.com,Jamal Khashoggi: Where The Road to Damascus & The Path to 9/11 Converge
zerohedge.com,"Foreign Banks Are Embracing Russia's Alternative To SWIFT, Moscow Says"
zerohedge.com,"Facebook Sells Disabled Iraq Vet $300,000 In Ads, Then Deletes His Influential Pages"
zerohedge.com,Saudi Royal Family Considering Replacement For Crown Prince bin Salman: Report
zerohedge.com,Wednesday's Rout Was An 8-Sigma Event: The 5th Largest Tail Event In History
zerohedge.com,"As U.S. Polls Tighten, The Signs All Point To Hillary"
zerohedge.com,"""Disappeared"" Interpol Chief Abruptly Resigns After Wife Reveals Chilling Text Message"
zerohedge.com,A $500 Million Bank Heist And Its “Ocean’s Eleven”-Style Schemers Thwarted By An HSBC Teller
zerohedge.com,"""Don't Look Away From Me!"" - Sexual Assault Survivor Accosts Flake After Confirmation Vote News"
zerohedge.com,Netflix Soars After Crushing Subscriber Estimates As It Burns A Record $10 Million Per Day
zerohedge.com,"Kavanaugh ""Gang Bang"" Accuser Savaged By Ex-Weatherman Over ""Penchant For Group Sex"""
zerohedge.com,"The 30-Year Has ""Broken Out"" - Jeff Gundlach Warns Stocks And Bonds Are Going Lower Together"
zerohedge.com,"Michael Is Now A Hurricane, Will Continue To Strengthen As It Approaches Florida Panhandle"
zerohedge.com,"Wikileaks: To Weaken Iran, US Undermined Democratic Elements of Syrian Opposition to Empower Radical Groups"
zerohedge.com,"This Is Why Bonds Are Crashing, According To Bill Gross"
zerohedge.com,"Italy Folds To Europe, Pledges To Shrink Budget Deficit To 2.0%; Euro Surges"
zerohedge.com,"""Women For Kavanaugh"" March On Washington In Support Of Supreme Court Nominee"
zerohedge.com,Saudi Energy Minister Confirms: 'November Output Will Be Slightly Higher Than October'
zerohedge.com,"""Unsafe And Unprofessional"": Chinese Warship Comes Within 45 Yards Of US Destroyer In South China Sea"
zerohedge.com,"China Is Developing Space Lasers To Detect Submarines 1,640 Feet Underwater"
zerohedge.com,"After Embarrassing Defeat, NATO, EU, & The West Try To Alter Reality In Macedonia"
zerohedge.com,Wells Fargo Announces 10% Staff Cuts As CEO Struggles To Impress Analysts
zerohedge.com,"Top FBI Lawyer Flips: Russia Probe Was Handled In ""Abnormal Fashion"" And Rife With ""Political Bias"""
